epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8017,1.43731,2.44592,1.49897,0.7946,0.39832,0.49261,0.27833,1.39582,2.16129,1.56073,0.000411877,0.000411877,0.000411877
2,34.2387,1.30628,1.29155,1.3639,0.46749,0.49014,0.46182,0.25266,1.45997,1.85354,1.62286,0.000818291,0.000818291,0.000818291
3,48.0213,1.28148,1.13695,1.33415,0.57595,0.63293,0.62153,0.35716,1.39155,1.35331,1.53116,0.00121439,0.00121439,0.00121439
4,61.8549,1.27406,1.04323,1.33055,0.80464,0.58973,0.70681,0.41302,1.31188,1.06468,1.40695,0.00120359,0.00120359,0.00120359
5,76.248,1.2587,0.97467,1.31612,0.64692,0.60984,0.64,0.37609,1.33872,1.07584,1.43926,0.00118812,0.00118812,0.00118812
6,90.0685,1.20351,0.86885,1.27822,0.76736,0.7405,0.80492,0.4785,1.23405,0.97161,1.35979,0.00117266,0.00117266,0.00117266
7,103.891,1.19641,0.8543,1.27578,0.86044,0.72729,0.79157,0.45802,1.24642,0.93301,1.38081,0.00115719,0.00115719,0.00115719
8,117.556,1.16741,0.80667,1.25699,0.72326,0.8588,0.83447,0.49912,1.2133,0.84499,1.34565,0.00114172,0.00114172,0.00114172
9,131.289,1.14621,0.77129,1.24075,0.84041,0.87452,0.89613,0.5788,1.13416,0.69061,1.29075,0.00112625,0.00112625,0.00112625
10,145.389,1.14114,0.75987,1.24311,0.87143,0.69597,0.80951,0.5124,1.20479,0.77669,1.33369,0.00111078,0.00111078,0.00111078
11,159.111,1.12428,0.73318,1.22598,0.87395,0.7963,0.86713,0.52934,1.20188,0.78452,1.32757,0.00109531,0.00109531,0.00109531
12,172.773,1.12373,0.72415,1.2306,0.78305,0.8169,0.85827,0.53271,1.22031,0.70776,1.34837,0.00107984,0.00107984,0.00107984
13,186.559,1.10034,0.69416,1.21091,0.89264,0.85878,0.91869,0.5791,1.13325,0.68811,1.2778,0.00106437,0.00106437,0.00106437
14,200.319,1.09388,0.68613,1.20617,0.93069,0.7793,0.904,0.57218,1.11517,0.68621,1.27707,0.00104891,0.00104891,0.00104891
15,214.384,1.08534,0.67592,1.20465,0.87056,0.89704,0.92753,0.61396,1.11626,0.65618,1.27965,0.00103344,0.00103344,0.00103344
16,228.139,1.08003,0.66234,1.19911,0.89555,0.84755,0.90997,0.58793,1.16542,0.62149,1.29694,0.00101797,0.00101797,0.00101797
17,241.943,1.06133,0.65837,1.19202,0.87924,0.839,0.91486,0.59649,1.10778,0.64006,1.25527,0.0010025,0.0010025,0.0010025
18,255.691,1.05918,0.64685,1.18374,0.83086,0.82901,0.894,0.57075,1.1171,0.64575,1.26703,0.000987031,0.000987031,0.000987031
19,269.729,1.05479,0.63927,1.18807,0.90322,0.83437,0.91538,0.57991,1.10043,0.63265,1.24587,0.000971562,0.000971562,0.000971562
20,283.447,1.05182,0.63142,1.18527,0.79968,0.90703,0.91531,0.59039,1.13955,0.63098,1.27831,0.000956094,0.000956094,0.000956094
21,297.119,1.04364,0.61778,1.17791,0.84869,0.85324,0.91947,0.59717,1.09653,0.63564,1.26331,0.000940625,0.000940625,0.000940625
22,310.741,1.03538,0.6154,1.17083,0.84347,0.82979,0.87877,0.57779,1.06862,0.59018,1.23882,0.000925156,0.000925156,0.000925156
23,324.406,1.02626,0.60486,1.16804,0.88006,0.84183,0.91694,0.61052,1.08954,0.58418,1.24785,0.000909688,0.000909688,0.000909688
24,338.402,1.01829,0.59573,1.16074,0.91687,0.88584,0.94072,0.58803,1.10528,0.57857,1.25334,0.000894219,0.000894219,0.000894219
25,352.518,1.01083,0.5911,1.16245,0.88019,0.86167,0.92452,0.59924,1.10465,0.59899,1.26005,0.00087875,0.00087875,0.00087875
26,366.297,1.00289,0.57562,1.14615,0.85911,0.87971,0.92951,0.62096,1.06701,0.5807,1.24577,0.000863281,0.000863281,0.000863281
27,380.098,1.00584,0.57441,1.15473,0.82164,0.91084,0.90671,0.59654,1.09029,0.57208,1.27856,0.000847813,0.000847813,0.000847813
28,393.822,0.99946,0.57715,1.14829,0.79792,0.91149,0.90767,0.59979,1.07072,0.58681,1.25202,0.000832344,0.000832344,0.000832344
29,407.886,0.99236,0.56907,1.14037,0.91867,0.88402,0.93027,0.62932,1.04781,0.59025,1.22927,0.000816875,0.000816875,0.000816875
30,421.8,0.97822,0.56158,1.14052,0.88092,0.92442,0.93744,0.63416,1.05884,0.55858,1.23869,0.000801406,0.000801406,0.000801406
31,435.738,0.98114,0.55103,1.13993,0.89265,0.91373,0.95012,0.62191,1.06072,0.55191,1.23546,0.000785938,0.000785938,0.000785938
32,449.712,0.96641,0.54607,1.1317,0.85825,0.93021,0.93442,0.63822,1.05489,0.60826,1.23084,0.000770469,0.000770469,0.000770469
33,463.872,0.97053,0.54758,1.13243,0.9101,0.88537,0.93223,0.62694,1.03024,0.56363,1.213,0.000755,0.000755,0.000755
34,477.508,0.9529,0.53482,1.12064,0.89703,0.88742,0.93982,0.62266,1.08713,0.53779,1.25772,0.000739531,0.000739531,0.000739531
35,491.264,0.95226,0.53343,1.12162,0.92705,0.86288,0.93666,0.6297,1.05713,0.53629,1.23369,0.000724062,0.000724062,0.000724062
36,505.095,0.9397,0.52437,1.11339,0.85097,0.92121,0.93292,0.63341,1.05416,0.54346,1.23448,0.000708594,0.000708594,0.000708594
37,518.863,0.95249,0.52951,1.12166,0.89183,0.90433,0.9311,0.62555,1.05649,0.57112,1.233,0.000693125,0.000693125,0.000693125
38,532.841,0.93914,0.52396,1.11604,0.95053,0.85741,0.93363,0.59941,1.06435,0.54748,1.24537,0.000677656,0.000677656,0.000677656
39,546.63,0.94636,0.52237,1.12407,0.88655,0.90136,0.92013,0.61689,1.03325,0.53519,1.21612,0.000662188,0.000662188,0.000662188
40,560.633,0.93205,0.51762,1.11259,0.89789,0.91279,0.94256,0.60728,1.06937,0.54029,1.25035,0.000646719,0.000646719,0.000646719
41,574.71,0.91943,0.50893,1.10161,0.88971,0.91937,0.95042,0.63992,1.03612,0.5271,1.22148,0.00063125,0.00063125,0.00063125
42,588.634,0.92156,0.50723,1.10599,0.90498,0.88415,0.9425,0.62746,1.0439,0.52809,1.22778,0.000615781,0.000615781,0.000615781
43,602.744,0.91207,0.49976,1.10297,0.87195,0.92504,0.94016,0.62609,1.05866,0.52941,1.23637,0.000600313,0.000600313,0.000600313
44,616.704,0.9104,0.49943,1.10084,0.88929,0.90542,0.93046,0.64497,1.04622,0.55807,1.24087,0.000584844,0.000584844,0.000584844
45,630.836,0.9027,0.49076,1.10076,0.84965,0.93998,0.93801,0.63651,1.04947,0.5366,1.2296,0.000569375,0.000569375,0.000569375
46,644.929,0.89492,0.48442,1.08549,0.89538,0.88949,0.94454,0.64754,1.02877,0.5336,1.2145,0.000553906,0.000553906,0.000553906
47,659.273,0.89604,0.48698,1.09524,0.83701,0.93215,0.91275,0.62161,1.02472,0.52224,1.23104,0.000538438,0.000538438,0.000538438
48,673.273,0.89484,0.48742,1.09129,0.86323,0.93465,0.91989,0.62549,1.05139,0.53396,1.24711,0.000522969,0.000522969,0.000522969
49,687.264,0.87934,0.48102,1.08515,0.86699,0.93165,0.94112,0.64508,1.04052,0.51858,1.23399,0.0005075,0.0005075,0.0005075
