epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6325,1.43835,2.46472,1.5069,0.8041,0.3583,0.51796,0.29009,1.30412,2.2143,1.41473,0.000411877,0.000411877,0.000411877
2,34.3675,1.31513,1.32035,1.37087,0.77544,0.46332,0.57085,0.31372,1.38453,1.57192,1.50513,0.000818291,0.000818291,0.000818291
3,48.6991,1.28735,1.1537,1.3415,0.64531,0.54615,0.56614,0.3059,1.57243,1.62574,1.62873,0.00121439,0.00121439,0.00121439
4,63.064,1.28914,1.0678,1.3437,0.68374,0.62286,0.66833,0.38555,1.28899,1.08731,1.4122,0.00120359,0.00120359,0.00120359
5,77.2831,1.26193,0.98496,1.31839,0.51974,0.51208,0.5492,0.33208,1.28555,1.52192,1.40075,0.00118812,0.00118812,0.00118812
6,91.345,1.21599,0.89194,1.28314,0.71517,0.71727,0.78644,0.4694,1.26034,0.93021,1.38212,0.00117266,0.00117266,0.00117266
7,105.358,1.2051,0.86736,1.28062,0.67567,0.81728,0.8023,0.49954,1.20485,0.87777,1.33289,0.00115719,0.00115719,0.00115719
8,119.504,1.18339,0.83232,1.26752,0.72523,0.85413,0.83537,0.50357,1.31047,0.89291,1.42653,0.00114172,0.00114172,0.00114172
9,133.754,1.15857,0.7981,1.24876,0.80427,0.81669,0.84993,0.52184,1.17392,0.78428,1.30955,0.00112625,0.00112625,0.00112625
10,147.812,1.17096,0.79153,1.26285,0.85297,0.70776,0.80932,0.48976,1.22464,0.90436,1.35079,0.00111078,0.00111078,0.00111078
11,161.785,1.15704,0.76229,1.24708,0.78484,0.85579,0.86558,0.54816,1.1632,0.72472,1.29877,0.00109531,0.00109531,0.00109531
12,175.889,1.13075,0.74362,1.23939,0.91035,0.75682,0.88234,0.52699,1.1862,0.70793,1.32055,0.00107984,0.00107984,0.00107984
13,190.181,1.11596,0.71689,1.22104,0.78954,0.89242,0.88907,0.53795,1.16365,0.67614,1.29369,0.00106437,0.00106437,0.00106437
14,203.942,1.10426,0.71148,1.21446,0.82043,0.83197,0.86338,0.54955,1.15484,0.70413,1.29931,0.00104891,0.00104891,0.00104891
15,217.882,1.10119,0.69702,1.21474,0.81031,0.77645,0.84556,0.54216,1.14325,0.72899,1.29788,0.00103344,0.00103344,0.00103344
16,231.81,1.09998,0.68394,1.2115,0.85321,0.83395,0.87078,0.50871,1.18281,0.70647,1.32316,0.00101797,0.00101797,0.00101797
17,245.668,1.08572,0.67946,1.20576,0.76928,0.89996,0.89429,0.56598,1.09563,0.6541,1.25333,0.0010025,0.0010025,0.0010025
18,259.795,1.07494,0.65837,1.19423,0.81631,0.87971,0.89902,0.57183,1.14685,0.66532,1.29918,0.000987031,0.000987031,0.000987031
19,273.742,1.06639,0.66171,1.19489,0.8119,0.88442,0.90877,0.60339,1.12951,0.63423,1.26831,0.000971562,0.000971562,0.000971562
20,287.693,1.06506,0.65862,1.19514,0.88035,0.90485,0.93463,0.59831,1.10667,0.5985,1.25484,0.000956094,0.000956094,0.000956094
21,301.542,1.05715,0.64315,1.18636,0.83915,0.90083,0.92901,0.59388,1.14557,0.68103,1.28324,0.000940625,0.000940625,0.000940625
22,315.63,1.05025,0.6347,1.18167,0.87786,0.87641,0.93346,0.60252,1.0802,0.59082,1.25247,0.000925156,0.000925156,0.000925156
23,329.802,1.05018,0.62992,1.17936,0.87426,0.90592,0.91181,0.60303,1.10612,0.58645,1.25337,0.000909688,0.000909688,0.000909688
24,343.692,1.03494,0.6145,1.17081,0.8865,0.92228,0.93391,0.59733,1.08951,0.56981,1.25545,0.000894219,0.000894219,0.000894219
25,357.822,1.02556,0.60334,1.16936,0.91355,0.82837,0.91556,0.61548,1.0918,0.57662,1.26665,0.00087875,0.00087875,0.00087875
26,371.609,1.01751,0.59905,1.15896,0.87543,0.90771,0.90596,0.58587,1.08693,0.60226,1.26943,0.000863281,0.000863281,0.000863281
27,385.732,1.01788,0.59181,1.16127,0.87945,0.90854,0.91824,0.57971,1.06434,0.55938,1.23598,0.000847813,0.000847813,0.000847813
28,399.485,1.01435,0.59219,1.15804,0.86241,0.90369,0.9393,0.6073,1.09593,0.59937,1.2511,0.000832344,0.000832344,0.000832344
