epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9166,1.46069,2.8831,1.52678,0.74458,0.62295,0.65735,0.42299,1.21724,2.87331,1.28607,0.000407407,0.000407407,0.000407407
2,25.9094,1.31151,1.50959,1.36331,0.71856,0.66055,0.77195,0.47398,1.30002,1.78723,1.42761,0.000813876,0.000813876,0.000813876
3,34.1749,1.29108,1.33127,1.34624,0.73984,0.59131,0.68143,0.43524,1.39627,1.70983,1.5534,0.00121003,0.00121003,0.00121003
4,42.7097,1.27602,1.21421,1.33665,0.70115,0.68449,0.72304,0.44637,1.35683,1.51587,1.55312,0.00120359,0.00120359,0.00120359
5,51.0225,1.24184,1.11971,1.3149,0.70984,0.48434,0.55457,0.35325,1.36736,1.84156,1.54545,0.00118812,0.00118812,0.00118812
6,59.5226,1.2158,1.04387,1.29517,0.89654,0.72679,0.82896,0.54833,1.2254,1.32458,1.3851,0.00117266,0.00117266,0.00117266
7,67.919,1.17983,0.99054,1.27561,0.81837,0.77907,0.84436,0.57492,1.16546,0.9543,1.32191,0.00115719,0.00115719,0.00115719
8,76.4895,1.15263,0.92784,1.26262,0.79573,0.73199,0.81975,0.5287,1.26996,1.00861,1.3962,0.00114172,0.00114172,0.00114172
9,84.9317,1.15116,0.91217,1.26018,0.82552,0.68046,0.76382,0.51277,1.2375,1.17914,1.4053,0.00112625,0.00112625,0.00112625
10,93.3744,1.13754,0.87434,1.24514,0.86626,0.79004,0.88154,0.59014,1.14411,0.98354,1.31005,0.00111078,0.00111078,0.00111078
11,101.694,1.14361,0.86203,1.23988,0.90191,0.81965,0.89301,0.58703,1.1407,1.01552,1.30375,0.00109531,0.00109531,0.00109531
12,110.311,1.10696,0.81731,1.22344,0.88836,0.8303,0.90684,0.61008,1.13398,0.73724,1.28603,0.00107984,0.00107984,0.00107984
